name,quantity,unit,category,description
Cabinet - Base 36",3,piece,cabinetry,36-inch base cabinet with drawers
Cabinet - Wall 24",4,piece,cabinetry,24-inch wall cabinet with glass doors
Quartz Countertop,30,sq ft,countertops,White quartz countertop
Farmhouse Sink,1,piece,fixtures,Apron-front farmhouse sink
Kitchen Faucet,1,piece,fixtures,Single-handle pull-out faucet
Tile Flooring,120,sq ft,flooring,Porcelain tile flooring 12x12 inch
Backsplash Tile,18,sq ft,finishing,Glass mosaic tile backsplash
Cabinet Hinges,24,piece,hardware,Soft-close cabinet hinges
Drawer Slides,12,piece,hardware,Full-extension drawer slides
Under-Cabinet Lighting,8,ft,lighting,LED under-cabinet light strips
